current vp 0
current vp 57.7656
1.49977 57.7656 0.470382
1.49687 86.3679 0.471854
1.49401 114.709 0.473318
1.49118 142.793 0.474776
1.48837 170.622 0.476226
1.4856 198.198 0.477668
1.48286 225.525 0.479103
1.48015 252.605 0.480531
1.47747 279.442 0.481951
1.47482 306.038 0.483363
1.4722 332.395 0.484768
1.46961 358.516 0.486166
1.46705 384.404 0.487555
1.46452 410.061 0.488937
1.46201 435.491 0.490312
1.45954 460.695 0.491678
1.45709 485.676 0.493037
1.45467 510.437 0.494389
1.45227 534.979 0.495732
1.4499 559.307 0.497068
1.44756 583.42 0.498396
1.44524 607.324 0.499716
1.44295 631.018 0.501028
1.44069 654.507 0.502333
1.43845 677.792 0.503629
1.43623 700.875 0.504918
1.43404 723.759 0.506199
1.43188 746.446 0.507472
1.42974 768.938 0.508737
0.565854 791.237 0.509994
current vp 57.7656
1.49977 57.7656 0.470382
1.49687 86.3679 0.471854
1.49401 114.709 0.473318
1.49118 142.793 0.474776
1.48837 170.622 0.476226
1.4856 198.198 0.477668
1.48286 225.525 0.479103
1.48015 252.605 0.480531
1.47747 279.442 0.481951
1.47482 306.038 0.483363
1.4722 332.395 0.484768
1.46961 358.516 0.486166
1.46705 384.404 0.487555
1.46452 410.061 0.488937
1.46201 435.491 0.490312
1.45954 460.695 0.491678
1.45709 485.676 0.493037
1.45467 510.437 0.494389
1.45227 534.979 0.495732
1.4499 559.307 0.497068
1.44756 583.42 0.498396
1.44524 607.324 0.499716
1.44295 631.018 0.501028
1.44069 654.507 0.502333
1.43845 677.792 0.503629
1.43623 700.875 0.504918
1.43404 723.759 0.506199
1.43188 746.446 0.507472
1.42974 768.938 0.508737
0.565854 791.237 0.509994
current vp 76.8367
1.49784 76.8367 0.471362
1.49496 105.265 0.472829
1.49212 133.435 0.474289
1.48931 161.348 0.475741
1.48653 189.009 0.477186
1.48378 216.419 0.478624
1.48106 243.581 0.480054
1.47837 270.499 0.481477
1.47571 297.175 0.482892
1.47308 323.612 0.484299
1.47048 349.811 0.485699
1.46791 375.777 0.487091
1.46536 401.511 0.488476
1.46285 427.017 0.489853
1.46036 452.296 0.491222
1.4579 477.352 0.492584
1.45547 502.186 0.493938
1.45307 526.801 0.495284
1.45069 551.2 0.496622
1.44834 575.385 0.497952
1.44602 599.358 0.499275
1.44372 623.122 0.50059
1.44144 646.68 0.501897
1.4392 670.032 0.503196
1.43697 693.183 0.504488
1.43477 716.133 0.505771
1.4326 738.886 0.507047
1.43045 761.443 0.508315
1.0432 783.806 0.509575
current vp 76.8367
1.49784 76.8367 0.471362
1.49496 105.265 0.472829
1.49212 133.435 0.474289
1.48931 161.348 0.475741
1.48653 189.009 0.477186
1.48378 216.419 0.478624
1.48106 243.581 0.480054
1.47837 270.499 0.481477
1.47571 297.175 0.482892
1.47308 323.612 0.484299
1.47048 349.811 0.485699
1.46791 375.777 0.487091
1.46536 401.511 0.488476
1.46285 427.017 0.489853
1.46036 452.296 0.491222
1.4579 477.352 0.492584
1.45547 502.186 0.493938
1.45307 526.801 0.495284
1.45069 551.2 0.496622
1.44834 575.385 0.497952
1.44602 599.358 0.499275
1.44372 623.122 0.50059
1.44144 646.68 0.501897
1.4392 670.032 0.503196
1.43697 693.183 0.504488
1.43477 716.133 0.505771
1.4326 738.886 0.507047
1.43045 761.443 0.508315
1.0432 783.806 0.509575
current vp 95.8163
1.49592 95.8163 0.472341
1.49306 124.072 0.473803
1.49024 152.071 0.475258
1.48745 179.815 0.476705
1.48469 207.308 0.478145
1.48196 234.553 0.479578
1.47926 261.553 0.481003
1.47659 288.309 0.482421
1.47395 314.825 0.483831
1.47134 341.103 0.485233
1.46876 367.147 0.486628
1.46621 392.958 0.488015
1.46368 418.54 0.489394
1.46119 443.894 0.490766
1.45872 469.024 0.49213
1.45628 493.931 0.493487
1.45387 518.62 0.494835
1.45148 543.09 0.496176
1.44912 567.346 0.497509
1.44679 591.39 0.498835
1.44448 615.224 0.500152
1.4422 638.85 0.501462
1.43994 662.271 0.502764
1.43771 685.488 0.504058
1.43551 708.505 0.505344
1.43332 731.323 0.506622
1.43117 753.945 0.507893
1.42903 776.373 0.509155
0.0900339 798.609 0.51041
current vp 95.8163
1.49592 95.8163 0.472341
1.49306 124.072 0.473803
1.49024 152.071 0.475258
1.48745 179.815 0.476705
1.48469 207.308 0.478145
1.48196 234.553 0.479578
1.47926 261.553 0.481003
1.47659 288.309 0.482421
1.47395 314.825 0.483831
1.47134 341.103 0.485233
1.46876 367.147 0.486628
1.46621 392.958 0.488015
1.46368 418.54 0.489394
1.46119 443.894 0.490766
1.45872 469.024 0.49213
1.45628 493.931 0.493487
1.45387 518.62 0.494835
1.45148 543.09 0.496176
1.44912 567.346 0.497509
1.44679 591.39 0.498835
1.44448 615.224 0.500152
1.4422 638.85 0.501462
1.43994 662.271 0.502764
1.43771 685.488 0.504058
1.43551 708.505 0.505344
1.43332 731.323 0.506622
1.43117 753.945 0.507893
1.42903 776.373 0.509155
0.0900339 798.609 0.51041
current vp 114.705
1.49401 114.705 0.473317
1.49118 142.789 0.474774
1.48838 170.617 0.476224
1.4856 198.194 0.477667
1.48286 225.521 0.479102
1.48016 252.602 0.48053
1.47748 279.439 0.48195
1.47483 306.034 0.483362
1.47221 332.392 0.484767
1.46962 358.513 0.486164
1.46705 384.401 0.487554
1.46452 410.059 0.488936
1.46202 435.489 0.490311
1.45954 460.693 0.491677
1.45709 485.674 0.493036
1.45467 510.435 0.494388
1.45227 534.978 0.495731
1.4499 559.305 0.497067
1.44756 583.419 0.498395
1.44525 607.323 0.499715
1.44296 631.018 0.501027
1.44069 654.506 0.502331
1.43845 677.791 0.503628
1.43624 700.875 0.504917
1.43405 723.759 0.506198
1.43188 746.446 0.507471
1.42974 768.938 0.508736
0.565818 791.237 0.509993
current vp 114.705
1.49401 114.705 0.473317
1.49118 142.789 0.474774
1.48838 170.617 0.476224
1.4856 198.194 0.477667
1.48286 225.521 0.479102
1.48016 252.602 0.48053
1.47748 279.439 0.48195
1.47483 306.034 0.483362
1.47221 332.392 0.484767
1.46962 358.513 0.486164
1.46705 384.401 0.487554
1.46452 410.059 0.488936
1.46202 435.489 0.490311
1.45954 460.693 0.491677
1.45709 485.674 0.493036
