5.R String Id,5.2 String Id
textAlarmBodyWithGraphicCassetteFailure02,DCL_TEXT_CASSETTE_FAILURE_02
textStatAlarmCassetteFailure02,DCL_TEXT_CASSETTE_FAILURE_STAT_02
textProgBarAddition,DCL_TEXT_STAT_SOLUTIONS
textStatEndOfRunPlt,DCL_TEXT_STATLINE_END_OF_RUN_PLT
textStatEndOfRunPlasma,DCL_TEXT_STATLINE_END_OF_RUN_PLASMA
textStatEndOfRunRbc,DCL_TEXT_STATLINE_END_OF_RUN_RBC
textEmptyFormatPltListboxYieldInit,DCL_TEXT_EMPTY
textButtonLabelCfgLeftProcBloodDiversion,DCL_TEXT_CFG_PROC_BLOOD_DIVERSION
textMiscAasDisconnect,DCL_TEXT_DISCONNECT_DONOR_MSS
textCfgColLabelCfgPltFinalConcExponent,DCL_TEXT_CFG_PLT_3RD_POWER
textCfgColLabelCfgPltCollectConcExponent,DCL_TEXT_CFG_PLT_3RD_POWER
textMiscCfgAdminNumDigits,DCL_TEXT_CFG_MACH_CAT_NUM_DIGITS
textMiscCfgAdminNumDigits,DCL_TEXT_CFG_MACH_ADMIN_NUM_DIGITS
textMiscCfgPasVolInit,DCL_TEXT_CFG_PLT_SS_VOL_INIT
textEmptyFormatCfgPltFinalConc,DCL_TEXT_BLANK
textCfgColLabelCfgPltCollectConc,DCL_TEXT_CFG_COLLECT_CONC
textStatLoadSetPas,DCL_TEXT_LOAD_TUBING_SET_PLT_MSS
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_ABORT_AAS_MSG
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_ABORT_AAS_EXIT
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_ABORT_AAS_DONT_EXIT
textMiscClampPltBagForSplit,DCL_TEXT_CLAMP_PLT_BAG_FOR_SPLIT
textMiscClampPasLine,DCL_TEXT_CLAMP_PLT_AAS_LINE
textMiscDonConnNoDiversion,DCL_TEXT_DONCONN_CONNECT_NO_DIVERSION
textProdVerifLeukLabelPlt,DCL_TEXT_VERIF_TITLE_PLT
textProdVerifLeukLabelRbc,DCL_TEXT_VERIF_TITLE_RBC
textProdVerifLeukLabelPlasma,DCL_TEXT_VERIF_TITLE_PLASMA
textEmptyFormatPredCurrPltExpInit,DCL_TEXT_BLANK
textEmptyFormatPredCurrPltX10Init,DCL_TEXT_BLANK
textEmptyFormatPredCurrPltVolLabelInit,DCL_TEXT_BLANK
textEmptyFormatPredNextPltExpInit,DCL_TEXT_BLANK
textEmptyFormatPredNextPltX10Init,DCL_TEXT_BLANK
textEmptyFormatPredPrevPltExpInit,DCL_TEXT_BLANK
textEmptyFormatPredPrevPltX10Init,DCL_TEXT_BLANK
textEmptyFormatPredPrevPltInit,DCL_TEXT_BLANK
textEmptyFormatPredCurrPltInit,DCL_TEXT_BLANK
textEmptyFormatPredCurrPltVolInit,DCL_TEXT_BLANK
textEmptyFormatPredNextPltInit,DCL_TEXT_BLANK
textMiscPredPltLabel,DCL_TEXT_PRED_PLATELETS_LABEL
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_PRED_PLATELETS_INIT
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_PRED_UNITS_11TH_POWER_INIT
textEmptyFormatPredPrevPlasLabelInit,DCL_TEXT_BLANK
textEmptyFormatPredCurrPlasLabelInit,DCL_TEXT_BLANK
textEmptyFormatPredNextPlasLabelInit,DCL_TEXT_BLANK
textEmptyFormatPredPrevPlasInit,DCL_TEXT_BLANK
textEmptyFormatPredCurrPlasInit,DCL_TEXT_BLANK
textEmptyFormatPredNextPlasInit,DCL_TEXT_BLANK
textMiscPredPlasLabel,DCL_TEXT_PRED_PLASMA_LABEL
textEmptyFormatPredCurrRbcLabelInit,DCL_TEXT_BLANK
textEmptyFormatPredNextRbcLabelInit,DCL_TEXT_BLANK
textEmptyFormatPredPrevRbcLabelInit,DCL_TEXT_BLANK
textEmptyFormatPredPrevRbcInit,DCL_TEXT_BLANK
textEmptyFormatPredCurrRbcInit,DCL_TEXT_BLANK
textEmptyFormatPredNextRbcInit,DCL_TEXT_BLANK
textEmptyFormatPredCurrTimeLabelInit,DCL_TEXT_BLANK
textEmptyFormatPredNextTimeLabelInit,DCL_TEXT_BLANK
textEmptyFormatPredPrevTimeLabelInit,DCL_TEXT_BLANK
textEmptyFormatPredPrevTimeInit,DCL_TEXT_BLANK
textEmptyFormatPredCurrTimeInit,DCL_TEXT_BLANK
textEmptyFormatPredNextTimeInit,DCL_TEXT_BLANK
textDataUnitsPredDuration,DCL_TEXT_PRED_TIME_UNITS
textDataUnitsPredPltYield,DCL_TEXT_PRED_PLATELET_ESTIMATE_UNITS
textDataUnitsPredUnitPltYieldExp,DCL_TEXT_PRED_PLATELET_EST_EXP_UNITS
textMiscPredNoProductAvailable,DCL_TEXT_PRED_NO_PRODUCT_AVAILABLE
textButtonLongPredScrollPrev,DCL_TEXT_PRED_PREV_BTN
textButtonLongPredScrollNext,DCL_TEXT_PRED_NEXT_BTN
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_PRED_DONOR_TIME_BTN
textMiscPredTimeLabel,DCL_TEXT_PRED_DONOR_TIME_BTN_RAW
textButtonLongConfirmProduct,DCL_TEXT_PRED_CONFIRM_PRODUCT_BTN
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_PRED_TIME_UNITS_BTN
textEmptyFormatAlarmNumberData,DCL_TEXT_EMPTY
textAlarmBodyNoGraphicDonorHypovolemia,DCL_TEXT_ALRM_DONOR_HYPERVOLEMIA
